INDV,O(HOM),E(HOM),N_SITES,F,POP
NS.1780.003.UDP0263_i7---UDP0263_i5.ME23.realigned.bam,4980126,6028217.4,8299611,-0.46143,MarE
NS.1780.003.UDP0264_i7---UDP0264_i5.ME24.realigned.bam,5208498,5860778.4,8074453,-0.29466,MarE
NS.1780.003.UDP0265_i7---UDP0265_i5.ME25.realigned.bam,5185575,5654595.6,7798000,-0.21882,MarE
NS.1780.003.UDP0266_i7---UDP0266_i5.ME26.realigned.bam,5198053,5731818.9,7901740,-0.24598,MarE
NS.1780.003.UDP0267_i7---UDP0267_i5.ME27.realigned.bam,5188655,5845063.6,8053741,-0.2972,MarE
NS.1780.003.UDP0268_i7---UDP0268_i5.ME28.realigned.bam,5159279,5799269.1,7992892,-0.29175,MarE
NS.1780.003.UDP0269_i7---UDP0269_i5.ME29.realigned.bam,5167703,5480982.2,7562658,-0.15049,MarE
NS.1780.003.UDP0270_i7---UDP0270_i5.ME30.realigned.bam,5204095,5677983.1,7828794,-0.22033,MarE
NS.1780.003.UDP0271_i7---UDP0271_i5.ME31.realigned.bam,5141581,5897583.5,8124032,-0.33956,MarE
NS.1780.003.UDP0272_i7---UDP0272_i5.ME32.realigned.bam,5080020,5904843,8133724,-0.37006,MarE
NS.1780.003.UDP0273_i7---UDP0273_i5.ME33.realigned.bam,4422221,4221418.7,5848114,0.12344,MarE
NS.1780.003.UDP0274_i7---UDP0274_i5.ME34.realigned.bam,5141433,5901146.7,8128925,-0.34102,MarE
NS.1780.003.UDP0275_i7---UDP0275_i5.ME35.realigned.bam,5243442,5720340.7,7884993,-0.22031,MarE
NS.1780.003.UDP0276_i7---UDP0276_i5.ME36.realigned.bam,5216928,5659890.6,7803965,-0.2066,MarE
NS.1780.003.UDP0277_i7---UDP0277_i5.ME37.realigned.bam,5220312,5585454.7,7703543,-0.17239,MarE
NS.1780.003.UDP0278_i7---UDP0278_i5.ME38.realigned.bam,5179739,5875074.5,8094002,-0.31337,MarE
NS.1780.003.UDP0279_i7---UDP0279_i5.ME39.realigned.bam,5159811,5846285.8,8055215,-0.31077,MarE
NS.1780.003.UDP0280_i7---UDP0280_i5.ME40.realigned.bam,5161135,5857437.2,8070293,-0.31466,MarE
NS.1780.003.UDP0281_i7---UDP0281_i5.ME41.realigned.bam,5231098,5663324.7,7808413,-0.2015,MarE
NS.1780.003.UDP0282_i7---UDP0282_i5.ME42.realigned.bam,5208673,5585114.4,7703410,-0.17771,MarE
NS.1780.003.UDP0284_i7---UDP0284_i5.ME44.realigned.bam,5161758,5512713,7605891,-0.16767,MarE
NS.1780.003.UDP0285_i7---UDP0285_i5.ME45.realigned.bam,5195203,5751058.1,7927074,-0.25545,MarE
NS.1780.003.UDP0286_i7---UDP0286_i5.ME46.realigned.bam,5058981,5463431.8,7538922,-0.19487,MarE
NS.1780.003.UDP0287_i7---UDP0287_i5.ME47.realigned.bam,5195647,5668646.4,7815429,-0.22033,MarE
NS.1780.004.UDP0193_i7---UDP0193_i5.MB1.realigned.bam,5268270,5597821.7,7720428,-0.15526,MarB
NS.1780.004.UDP0194_i7---UDP0194_i5.MB2.realigned.bam,4964057,5006502.4,6919312,-0.02219,MarB
NS.1780.004.UDP0195_i7---UDP0195_i5.MB3.realigned.bam,5238695,5622573.4,7753225,-0.18017,MarB
NS.1780.004.UDP0196_i7---UDP0196_i5.MB4.realigned.bam,5057621,5253620,7254936,-0.09794,MarB
NS.1780.004.UDP0197_i7---UDP0197_i5.MB5.realigned.bam,5159326,5890718.9,8114957,-0.32883,MarB
NS.1780.004.UDP0198_i7---UDP0198_i5.MB6.realigned.bam,5226081,5554518.1,7661667,-0.15587,MarB
NS.1780.004.UDP0199_i7---UDP0199_i5.MB7.realigned.bam,5253428,5750588.7,7926544,-0.22848,MarB
NS.1780.004.UDP0200_i7---UDP0200_i5.MB8.realigned.bam,5058993,5123064.7,7077719,-0.03278,MarB
NS.1780.004.UDP0201_i7---UDP0201_i5.MB9.realigned.bam,5202223,5859197,8072307,-0.29686,MarB
NS.1780.004.UDP0202_i7---UDP0202_i5.MB10.realigned.bam,5218837,5551174.3,7657174,-0.15781,MarB
NS.1780.004.UDP0203_i7---UDP0203_i5.MB11.realigned.bam,183,162,224,0.33922,MarB
NS.1780.004.UDP0204_i7---UDP0204_i5.MB12.realigned.bam,5115695,5959960.5,8208160,-0.37553,MarB
NS.1780.004.UDP0205_i7---UDP0205_i5.MB13.realigned.bam,5076679,5998144.7,8259335,-0.40751,MarB
NS.1780.004.UDP0206_i7---UDP0206_i5.MB14.realigned.bam,65,54.4,75,0.51455,MarB
NS.1780.004.UDP0207_i7---UDP0207_i5.MB22.realigned.bam,5243658,5634791.9,7770239,-0.18316,MarB
NS.1780.004.UDP0208_i7---UDP0208_i5.MB23.realigned.bam,5044498,5146775.2,7109858,-0.0521,MarB
NS.1780.004.UDP0209_i7---UDP0209_i5.MB20.realigned.bam,5200519,5915672.8,8148741,-0.32026,MarB
NS.1780.004.UDP0210_i7---UDP0210_i5.MB31.realigned.bam,5254741,5706334.4,7866461,-0.20906,MarB
NS.1780.004.UDP0211_i7---UDP0211_i5.MB21.realigned.bam,5250700,5658239.7,7801553,-0.19014,MarB
NS.1780.004.UDP0212_i7---UDP0212_i5.MB15.realigned.bam,5176732,5918330.9,8152023,-0.33201,MarB
NS.1780.004.UDP0213_i7---UDP0213_i5.MB29.realigned.bam,5228309,5860310.5,8073817,-0.28552,MarB
NS.1780.004.UDP0214_i7---UDP0214_i5.MB30.realigned.bam,5243520,5745184.3,7918770,-0.2308,MarB
NS.1780.004.UDP0215_i7---UDP0215_i5.MB24.realigned.bam,5149192,5963143.6,8212214,-0.36191,MarB
NS.1780.004.UDP0216_i7---UDP0216_i5.MB28.realigned.bam,5095611,5981086.9,8236366,-0.39262,MarB
NS.1780.004.UDP0217_i7---UDP0217_i5.MB19.realigned.bam,4895539,4906751.2,6785163,-0.00597,MarB
NS.1780.004.UDP0218_i7---UDP0218_i5.MB16.realigned.bam,5216349,5801020.4,7994526,-0.26655,MarB
NS.1780.004.UDP0219_i7---UDP0219_i5.MB18.realigned.bam,5104303,5983916.4,8240158,-0.38986,MarB
NS.1780.004.UDP0220_i7---UDP0220_i5.MB17.realigned.bam,5241065,5520782.1,7616374,-0.13348,MarB
NS.1780.004.UDP0221_i7---UDP0221_i5.MB25.realigned.bam,5196465,5439687.1,7506672,-0.11767,MarB
NS.1780.004.UDP0222_i7---UDP0222_i5.MB26.realigned.bam,5247145,5815578.3,8014031,-0.25856,MarB
NS.1780.004.UDP0223_i7---UDP0223_i5.MB27.realigned.bam,5215007,5475531.5,7554694,-0.1253,MarB
NS.1780.004.UDP0224_i7---UDP0224_i5.MB32.realigned.bam,5272077,5729391.4,7898062,-0.21087,MarB
NS.1780.004.UDP0225_i7---UDP0225_i5.MB33.realigned.bam,5206954,5611922.1,7739338,-0.19036,MarB
NS.1780.004.UDP0226_i7---UDP0226_i5.MB34.realigned.bam,5069246,5965364.5,8215497,-0.39825,MarB
NS.1780.004.UDP0227_i7---UDP0227_i5.MB35.realigned.bam,5064833,5991979.7,8251168,-0.41039,MarB
NS.1780.004.UDP0228_i7---UDP0228_i5.Q001.realigned.bam,5270469,5631751.1,7765695,-0.1693,Quebec
NS.1780.004.UDP0230_i7---UDP0230_i5.Q003.realigned.bam,5139321,5966677.6,8216842,-0.36769,Quebec
NS.1780.004.UDP0231_i7---UDP0231_i5.Q004.realigned.bam,5038377,6021188.5,8290026,-0.43318,Quebec
NS.1780.004.UDP0232_i7---UDP0232_i5.Q005.realigned.bam,5014753,6026624.4,8297543,-0.44558,Quebec
NS.1780.004.UDP0233_i7---UDP0233_i5.Q009.realigned.bam,5244105,5852353.5,8063038,-0.27514,Quebec
NS.1780.004.UDP0234_i7---UDP0234_i5.Q010.realigned.bam,5176975,5938994.5,8179668,-0.34009,Quebec
NS.1780.004.UDP0235_i7---UDP0235_i5.Q011.realigned.bam,4964924,6033027,8306177,-0.46988,Quebec
NS.1780.004.UDP0236_i7---UDP0236_i5.Q012.realigned.bam,5040543,5991433.3,8250481,-0.42093,Quebec
NS.1780.004.UDP0237_i7---UDP0237_i5.Q013.realigned.bam,5048602,5990645.6,8249695,-0.41701,Quebec
NS.1780.004.UDP0238_i7---UDP0238_i5.Q014.realigned.bam,1680,1337.1,1838,0.68457,Quebec
NS.1780.004.UDP0239_i7---UDP0239_i5.Q015.realigned.bam,5036185,6016619.8,8284423,-0.43233,Quebec
NS.1780.004.UDP0240_i7---UDP0240_i5.Q016.realigned.bam,5187238,5873053.7,8090956,-0.30922,Quebec
NS.1780.004.UDP0241_i7---UDP0241_i5.Q017.realigned.bam,5242082,5770001.7,7951451,-0.242,Quebec
NS.1780.004.UDP0242_i7---UDP0242_i5.Q018.realigned.bam,5226911,5633508.9,7767733,-0.19051,Quebec
NS.1780.004.UDP0243_i7---UDP0243_i5.Q019.realigned.bam,5219906,5806871.3,8001344,-0.26747,Quebec
NS.1780.004.UDP0244_i7---UDP0244_i5.Q020.realigned.bam,5156980,5924994.7,8161097,-0.34346,Quebec
NS.1780.004.UDP0245_i7---UDP0245_i5.Q021.realigned.bam,5249052,5814815.4,8013161,-0.25736,Quebec
NS.1780.004.UDP0246_i7---UDP0246_i5.Q022.realigned.bam,5228148,5904429.2,8133213,-0.30343,Quebec
NS.1780.004.UDP0247_i7---UDP0247_i5.Q023.realigned.bam,5235741,5738121.4,7909167,-0.2314,Quebec
NS.1780.004.UDP0248_i7---UDP0248_i5.Q024.realigned.bam,5157133,5894204,8119287,-0.33126,Quebec
NS.1780.004.UDP0249_i7---UDP0249_i5.Q025.realigned.bam,5259855,5676879.9,7826311,-0.19402,Quebec
NS.1780.004.UDP0250_i7---UDP0250_i5.Q026.realigned.bam,5219293,5490912.7,7574755,-0.13035,Quebec
NS.1780.004.UDP0251_i7---UDP0251_i5.Q027.realigned.bam,5271092,5806851.8,8001413,-0.24413,Quebec
NS.1780.004.UDP0252_i7---UDP0252_i5.Q028.realigned.bam,5270038,5666552.8,7812719,-0.18475,Quebec
NS.1780.004.UDP0253_i7---UDP0253_i5.Q029.realigned.bam,5297833,5633566.1,7766160,-0.15743,Quebec
NS.1780.004.UDP0254_i7---UDP0254_i5.Q030.realigned.bam,5275204,5737658.3,7908415,-0.21304,Quebec
NS.1780.004.UDP0255_i7---UDP0255_i5.Q031.realigned.bam,5197456,5563601.5,7673975,-0.1735,Quebec
NS.1780.004.UDP0256_i7---UDP0256_i5.Q032.realigned.bam,5179822,5859405.1,8072739,-0.30704,Quebec
NS.1780.004.UDP0257_i7---UDP0257_i5.Q033.realigned.bam,5141475,5317541.1,7341119,-0.08701,Quebec
NS.1780.004.UDP0258_i7---UDP0258_i5.Q034.realigned.bam,5124378,5303653.7,7321947,-0.08883,Quebec
NS.1780.004.UDP0259_i7---UDP0259_i5.Q035.realigned.bam,5234981,5866656.2,8082652,-0.28505,Quebec
NS.1780.004.UDP0260_i7---UDP0260_i5.Q036.realigned.bam,5245966,5741038.7,7912945,-0.22794,Quebec
NS.1780.004.UDP0261_i7---UDP0261_i5.Q037.realigned.bam,5234971,5678518.3,7828242,-0.20633,Quebec
NS.1780.004.UDP0262_i7---UDP0262_i5.Q038.realigned.bam,5221199,5704931.5,7864306,-0.22402,Quebec
NS.1780.004.UDP0263_i7---UDP0263_i5.LC1.realigned.bam,5203273,5878521.5,8098601,-0.30416,LillyCanyon
NS.1780.004.UDP0264_i7---UDP0264_i5.LC2.realigned.bam,5190672,5860363.5,8073867,-0.30255,LillyCanyon
NS.1780.004.UDP0265_i7---UDP0265_i5.LC7.realigned.bam,5246973,5597840.9,7720219,-0.16532,LillyCanyon
NS.1780.004.UDP0266_i7---UDP0266_i5.LC8.realigned.bam,5247795,5666883.1,7813241,-0.19526,LillyCanyon
NS.1780.004.UDP0267_i7---UDP0267_i5.LC9.realigned.bam,5189664,5906956.6,8136436,-0.32173,LillyCanyon
NS.1780.004.UDP0268_i7---UDP0268_i5.LC10.realigned.bam,5119207,5956647.6,8203370,-0.37274,LillyCanyon
NS.1780.004.UDP0269_i7---UDP0269_i5.LC11.realigned.bam,5259267,5709464.5,7871032,-0.20827,LillyCanyon
NS.1780.004.UDP0270_i7---UDP0270_i5.LC12.realigned.bam,5167920,5367083.6,7407740,-0.0976,LillyCanyon
NS.1780.004.UDP0271_i7---UDP0271_i5.LC13.realigned.bam,5265600,5694905.6,7851077,-0.19911,LillyCanyon
NS.1780.004.UDP0272_i7---UDP0272_i5.LC14.realigned.bam,5242449,5853655.2,8064458,-0.27646,LillyCanyon
NS.1780.004.UDP0273_i7---UDP0273_i5.LC15.realigned.bam,4358070,4162574.6,5771261,0.12152,LillyCanyon
NS.1780.004.UDP0274_i7---UDP0274_i5.LC16.realigned.bam,4378169,4177213.5,5788573,0.12471,LillyCanyon
NS.1780.004.UDP0275_i7---UDP0275_i5.LC17.realigned.bam,5218864,5352062.6,7387381,-0.06544,LillyCanyon
NS.1780.004.UDP0276_i7---UDP0276_i5.LC18.realigned.bam,5133478,5246883.4,7245029,-0.05676,LillyCanyon
NS.1780.004.UDP0277_i7---UDP0277_i5.LC19.realigned.bam,4932834,4869956.3,6732356,0.03376,LillyCanyon
NS.1780.004.UDP0278_i7---UDP0278_i5.LC20.realigned.bam,4831081,4752651.5,6573638,0.04307,LillyCanyon
NS.1780.004.UDP0279_i7---UDP0279_i5.LC21.realigned.bam,4995741,4988572.1,6893350,0.00376,LillyCanyon
NS.1780.004.UDP0280_i7---UDP0280_i5.LC22.realigned.bam,4503149,4320782.9,5984099,0.10964,LillyCanyon
NS.1780.004.UDP0281_i7---UDP0281_i5.LC23.realigned.bam,4966844,4956783.9,6850606,0.00531,LillyCanyon
NS.1780.004.UDP0282_i7---UDP0282_i5.LC24.realigned.bam,5108128,5238354.4,7233260,-0.06528,LillyCanyon
NS.1780.004.UDP0283_i7---UDP0283_i5.LC25.realigned.bam,5250364,5724609.7,7891291,-0.21888,LillyCanyon
NS.1780.004.UDP0284_i7---UDP0284_i5.LC26.realigned.bam,5240297,5544387.6,7646880,-0.14463,LillyCanyon
NS.1780.004.UDP0285_i7---UDP0285_i5.LC27.realigned.bam,5223022,5816285.5,8014755,-0.26985,LillyCanyon
NS.1780.004.UDP0286_i7---UDP0286_i5.LC28.realigned.bam,5207923,5756609.7,7933975,-0.252,LillyCanyon
NS.1780.004.UDP0287_i7---UDP0287_i5.LC29.realigned.bam,5093155,5959619,8207543,-0.38545,LillyCanyon
NS.1781.001.UDP0193_i7---UDP0193_i5.3B49.realigned.bam,5243016,5666568.7,7811962,-0.19742,CMA 3B
NS.1781.001.UDP0194_i7---UDP0194_i5.3B50.realigned.bam,5242179,5566621.5,7677278,-0.15372,CMA 3B
NS.1781.001.UDP0195_i7---UDP0195_i5.3B51.realigned.bam,5050369,5124859.9,7080039,-0.0381,CMA 3B
NS.1781.001.UDP0196_i7---UDP0196_i5.3B52.realigned.bam,5206608,5767731.5,7949338,-0.25721,CMA 3B
NS.1781.001.UDP0197_i7---UDP0197_i5.3B53.realigned.bam,5270527,5794376.2,7984252,-0.23921,CMA 3B
NS.1781.001.UDP0198_i7---UDP0198_i5.3B54.realigned.bam,5240790,5550128.4,7654564,-0.14699,CMA 3B
NS.1781.001.UDP0199_i7---UDP0199_i5.3B55.realigned.bam,5153977,5307204.9,7326304,-0.07589,CMA 3B
NS.1781.001.UDP0200_i7---UDP0200_i5.3B56.realigned.bam,4898362,4842941.6,6696027,0.02991,CMA 3B
NS.1781.001.UDP0201_i7---UDP0201_i5.3B57.realigned.bam,4207523,3989006.4,5531994,0.14162,CMA 3B
NS.1781.001.UDP0202_i7---UDP0202_i5.3B58.realigned.bam,5224379,5744542.7,7918078,-0.23932,CMA 3B
NS.1781.001.UDP0203_i7---UDP0203_i5.3B59.realigned.bam,5224406,5805544.5,8000237,-0.26479,CMA 3B
NS.1781.001.UDP0204_i7---UDP0204_i5.3B60.realigned.bam,5277563,5694754.5,7850222,-0.19355,CMA 3B
NS.1781.001.UDP0205_i7---UDP0205_i5.3B61.realigned.bam,5253575,5772260.6,7954785,-0.23765,CMA 3B
NS.1781.001.UDP0206_i7---UDP0206_i5.3B62.realigned.bam,5272206,5734062,7902897,-0.21295,CMA 3B
NS.1781.001.UDP0207_i7---UDP0207_i5.3B63.realigned.bam,5249925,5570830.4,7682207,-0.15199,CMA 3B
NS.1781.001.UDP0208_i7---UDP0208_i5.3B64.realigned.bam,5246838,5645639.1,7783951,-0.1865,CMA 3B
NS.1781.001.UDP0209_i7---UDP0209_i5.3B65.realigned.bam,5271896,5744396.5,7916434,-0.21754,CMA 3B
NS.1781.001.UDP0210_i7---UDP0210_i5.3B66.realigned.bam,5088856,5173284.8,7145392,-0.04281,CMA 3B
NS.1781.001.UDP0211_i7---UDP0211_i5.3B67.realigned.bam,5246810,5803105.1,7996410,-0.25363,CMA 3B
NS.1781.001.UDP0212_i7---UDP0212_i5.3B68.realigned.bam,5133192,5993205.6,8252348,-0.38068,CMA 3B
NS.1781.001.UDP0213_i7---UDP0213_i5.3B69.realigned.bam,5161706,5963685,8212914,-0.35656,CMA 3B
NS.1781.001.UDP0214_i7---UDP0214_i5.3B70.realigned.bam,5260353,5763915.5,7943301,-0.23106,CMA 3B
NS.1781.001.UDP0215_i7---UDP0215_i5.3B71.realigned.bam,5198492,5930068.9,8167421,-0.32698,CMA 3B
NS.1781.001.UDP0216_i7---UDP0216_i5.3B72.realigned.bam,5186857,5895532.7,8121131,-0.31842,CMA 3B
NS.1781.001.UDP0217_i7---UDP0217_i5.3B73.realigned.bam,5251212,5788690.4,7977023,-0.24561,CMA 3B
NS.1781.001.UDP0218_i7---UDP0218_i5.3B74.realigned.bam,5256061,5869420.1,8085964,-0.27672,CMA 3B
NS.1781.001.UDP0219_i7---UDP0219_i5.3B75.realigned.bam,5157090,5898209.2,8124698,-0.33286,CMA 3B
NS.1781.001.UDP0220_i7---UDP0220_i5.3B76.realigned.bam,5245139,5875895.2,8093661,-0.28441,CMA 3B
NS.1781.001.UDP0221_i7---UDP0221_i5.3B77.realigned.bam,5236608,5813279.9,8010611,-0.26244,CMA 3B
NS.1781.001.UDP0222_i7---UDP0222_i5.3B78.realigned.bam,5272141,5698150.9,7854911,-0.19752,CMA 3B
NS.1781.001.UDP0223_i7---UDP0223_i5.3B79.realigned.bam,5247335,5623575.8,7753913,-0.17661,CMA 3B
NS.1781.001.UDP0224_i7---UDP0224_i5.3B80.realigned.bam,5256401,5809244.7,8004890,-0.25179,CMA 3B
NS.1781.001.UDP0225_i7---UDP0225_i5.3B81.realigned.bam,5216159,5753115.3,7929417,-0.24673,CMA 3B
NS.1781.001.UDP0226_i7---UDP0226_i5.3B82.realigned.bam,5257425,5744689.4,7917050,-0.2243,CMA 3B
NS.1781.001.UDP0227_i7---UDP0227_i5.3B83.realigned.bam,5236973,5722647.3,7887877,-0.22431,CMA 3B
NS.1781.001.UDP0228_i7---UDP0228_i5.6B1.realigned.bam,5184327,5921613.4,8156272,-0.32993,CMA 6B
NS.1781.001.UDP0229_i7---UDP0229_i5.6B2.realigned.bam,5194921,5823279.8,8024004,-0.28552,CMA 6B
NS.1781.001.UDP0230_i7---UDP0230_i5.6B3.realigned.bam,5233801,5800020.4,7992478,-0.25826,CMA 6B
NS.1781.001.UDP0231_i7---UDP0231_i5.6B30.realigned.bam,5202385,5717759.8,7881631,-0.23817,CMA 6B
NS.1781.001.UDP0232_i7---UDP0232_i5.6B5.realigned.bam,5212920,5816230.9,8014500,-0.27445,CMA 6B
NS.1781.001.UDP0233_i7---UDP0233_i5.6B17.realigned.bam,5203805,5857941,8070561,-0.29564,CMA 6B
NS.1781.001.UDP0234_i7---UDP0234_i5.6B18.realigned.bam,5237386,5720622.6,7885145,-0.22325,CMA 6B
NS.1781.001.UDP0235_i7---UDP0235_i5.6B19.realigned.bam,5047645,5996468.8,8256819,-0.41977,CMA 6B
NS.1781.001.UDP0236_i7---UDP0236_i5.6B20.realigned.bam,5216090,5810223.3,8006027,-0.27058,CMA 6B
NS.1781.001.UDP0237_i7---UDP0237_i5.6B21.realigned.bam,5153656,5916407.9,8149389,-0.34158,CMA 6B
NS.1781.001.UDP0238_i7---UDP0238_i5.6B22.realigned.bam,5258962,5769212,7950517,-0.23392,CMA 6B
NS.1781.001.UDP0239_i7---UDP0239_i5.6B23.realigned.bam,5227345,5812992.4,8010219,-0.26654,CMA 6B
NS.1781.001.UDP0240_i7---UDP0240_i5.6B24.realigned.bam,5180758,5865631.4,8080941,-0.30915,CMA 6B
NS.1781.001.UDP0241_i7---UDP0241_i5.6B11.realigned.bam,5271273,5836712.4,8041792,-0.25643,CMA 6B
NS.1781.001.UDP0242_i7---UDP0242_i5.6B28.realigned.bam,5154380,5873731.6,8091903,-0.3243,CMA 6B
NS.1781.001.UDP0243_i7---UDP0243_i5.6B29.realigned.bam,5123187,5894482.8,8120097,-0.34655,CMA 6B
NS.1781.001.UDP0244_i7---UDP0244_i5.6B15.realigned.bam,5152723,5838477.7,8044367,-0.31087,CMA 6B
NS.1781.001.UDP0245_i7---UDP0245_i5.6B31.realigned.bam,5121555,5961028.9,8209382,-0.37337,CMA 6B
NS.1781.001.UDP0246_i7---UDP0246_i5.6B32.realigned.bam,5159766,5927861.6,8164622,-0.3434,CMA 6B
NS.1781.001.UDP0247_i7---UDP0247_i5.6B33.realigned.bam,5228038,5719731.5,7884177,-0.22717,CMA 6B
NS.1781.001.UDP0248_i7---UDP0248_i5.6B34.realigned.bam,5191942,5878987.6,8098822,-0.3095,CMA 6B
NS.1781.001.UDP0249_i7---UDP0249_i5.6B39.realigned.bam,5101716,5164198.8,7127843,-0.03182,CMA 6B
NS.1781.001.UDP0250_i7---UDP0250_i5.6B36.realigned.bam,5153058,5396151.5,7447405,-0.11851,CMA 6B
NS.1781.001.UDP0251_i7---UDP0251_i5.6B37.realigned.bam,5204676,5841508.4,8048440,-0.28856,CMA 6B
NS.1781.001.UDP0252_i7---UDP0252_i5.6B38.realigned.bam,5209368,5490405.5,7575160,-0.13481,CMA 6B
NS.1781.001.UDP0253_i7---UDP0253_i5.6B16.realigned.bam,5223110,5787514.8,7975605,-0.25794,CMA 6B
NS.1781.001.UDP0254_i7---UDP0254_i5.6B41.realigned.bam,5232111,5867720.2,8083768,-0.28682,CMA 6B
NS.1781.001.UDP0255_i7---UDP0255_i5.6B7.realigned.bam,5216876,5679061,7828792,-0.215,CMA 6B
NS.1781.001.UDP0256_i7---UDP0256_i5.6B44.realigned.bam,5206857,5852424.4,8062776,-0.29207,CMA 6B
NS.1781.001.UDP0257_i7---UDP0257_i5.6B42.realigned.bam,5215824,5401553.2,7453868,-0.0905,CMA 6B
NS.1781.001.UDP0258_i7---UDP0258_i5.6B46.realigned.bam,5191838,5738043.3,7909226,-0.25157,CMA 6B
NS.1781.001.UDP0259_i7---UDP0259_i5.6B47.realigned.bam,5211343,5884544.3,8106190,-0.30302,CMA 6B
NS.1781.001.UDP0260_i7---UDP0260_i5.6B48.realigned.bam,5239505,5758754.6,7936587,-0.23842,CMA 6B
NS.1781.001.UDP0261_i7---UDP0261_i5.6B9.realigned.bam,5267665,5672333,7819524,-0.18846,CMA 6B
NS.1781.001.UDP0262_i7---UDP0262_i5.6B26.realigned.bam,76672,61913.3,87577,0.57508,CMA 6B
NS.1781.001.UDP0265_i7---UDP0265_i5.T17.realigned.bam,5253151,5618472.5,7747734,-0.17157,CMA N5440
NS.1781.001.UDP0266_i7---UDP0266_i5.T43.realigned.bam,5250411,5678252.8,7828413,-0.19898,CMA N5441
NS.1781.001.UDP0267_i7---UDP0267_i5.T11.realigned.bam,5261137,5635608.9,7771004,-0.17536,CMA N5442
NS.1781.001.UDP0268_i7---UDP0268_i5.T45.realigned.bam,5259829,5819377.1,8018781,-0.25441,CMA N5443
NS.1781.001.UDP0269_i7---UDP0269_i5.T2.realigned.bam,5227932,5839228.8,8045507,-0.27707,CMA N5444
NS.1781.001.UDP0270_i7---UDP0270_i5.T25.realigned.bam,5293802,5597291.7,7715451,-0.14328,CMA N5445
NS.1781.001.UDP0271_i7---UDP0271_i5.T40.realigned.bam,5193107,5406414.8,7457520,-0.104,CMA N5446
NS.1781.001.UDP0272_i7---UDP0272_i5.T29.realigned.bam,5120205,5202333.5,7181359,-0.0415,CMA N5447
NS.1781.001.UDP0273_i7---UDP0273_i5.T6.realigned.bam,5100025,5196770.1,7176203,-0.04888,CMA N5448
NS.1781.001.UDP0274_i7---UDP0274_i5.T31.realigned.bam,5174790,5440882.5,7507447,-0.12876,CMA N5449
NS.1781.001.UDP0275_i7---UDP0275_i5.T7.realigned.bam,5305230,5628265.2,7760537,-0.1515,CMA N5450
NS.1781.001.UDP0276_i7---UDP0276_i5.T36.realigned.bam,5254484,5428704.7,7490360,-0.08451,CMA N5451
NS.1781.001.UDP0277_i7---UDP0277_i5.T4.realigned.bam,4621133,4464766.8,6179743,0.09118,CMA N5452
NS.1781.001.UDP0278_i7---UDP0278_i5.T8.realigned.bam,4595040,4429338.5,6132246,0.09731,CMA N5453
NS.1781.001.UDP0279_i7---UDP0279_i5.T12.realigned.bam,4762887,4639101.9,6418171,0.06958,CMA N5454
NS.1781.001.UDP0280_i7---UDP0280_i5.T48.realigned.bam,3026985,2734421.5,3799378,0.27472,CMA N5455
NS.1781.001.UDP0281_i7---UDP0281_i5.T23.realigned.bam,5235538,5732449.1,7901876,-0.22905,CMA N5456
NS.1781.001.UDP0282_i7---UDP0282_i5.T27.realigned.bam,5227885,5473001.6,7549121,-0.11806,CMA N5457
NS.1781.001.UDP0283_i7---UDP0283_i5.T18.realigned.bam,5149952,5926675.6,8163586,-0.34723,CMA N5458
NS.1781.001.UDP0284_i7---UDP0284_i5.T41.realigned.bam,5211665,5837386,8042916,-0.28371,CMA N5459
NS.1781.001.UDP0285_i7---UDP0285_i5.T21.realigned.bam,5234483,5525451.2,7622504,-0.13875,CMA N5460
NS.1781.001.UDP0286_i7---UDP0286_i5.T15.realigned.bam,5219859,5862909,8077063,-0.29043,CMA N5461
NS.1781.001.UDP0287_i7---UDP0287_i5.T30.realigned.bam,5171672,5553040.9,7655484,-0.18139,CMA N5462
NS.1781.001.UDP0288_i7---UDP0288_i5.T13.realigned.bam,5150005,5908350.2,8138694,-0.34001,CMA N5463
NS.1781.002.UDP0193_i7---UDP0193_i5.10B1.realigned.bam,4971549,6046053.3,8323729,-0.47175,CMA 10B
NS.1781.002.UDP0194_i7---UDP0194_i5.10B2.realigned.bam,5123855,5939469.6,8180495,-0.36395,CMA 10B
NS.1781.002.UDP0195_i7---UDP0195_i5.10B3.realigned.bam,5037356,5990217.3,8248822,-0.42188,CMA 10B
NS.1781.002.UDP0196_i7---UDP0196_i5.10B4.realigned.bam,5159926,5896131.2,8122229,-0.33072,CMA 10B
NS.1781.002.UDP0197_i7---UDP0197_i5.10B5.realigned.bam,134950,110449.4,156124,0.53642,CMA 10B
NS.1781.002.UDP0198_i7---UDP0198_i5.10B6.realigned.bam,5224050,5600863.7,7724694,-0.17742,CMA 10B
NS.1781.002.UDP0199_i7---UDP0199_i5.10B7.realigned.bam,5224650,5595926,7717733,-0.17498,CMA 10B
NS.1781.002.UDP0200_i7---UDP0200_i5.BdC17.realigned.bam,5134503,5347177,7381851,-0.10452,Baie des Chal
NS.1781.002.UDP0201_i7---UDP0201_i5.10B10.realigned.bam,4921668,6046265.3,8323949,-0.49375,CMA 10B
NS.1781.002.UDP0202_i7---UDP0202_i5.10B11.realigned.bam,5167514,5763805.4,7944585,-0.27343,CMA 10B
NS.1781.002.UDP0203_i7---UDP0203_i5.10B12.realigned.bam,5122191,5949812.1,8194447,-0.36871,CMA 10B
