PC1,PC2,PC3,PC4,PC5
-0.00544130578931182,-0.0110470982085494,-0.0215863742876807,-0.00925149720959272,0.00641220397894978
-0.021902880866804,-0.0121758894831415,-0.0834441767097983,-0.0136162517642597,-0.0463380993625837
-0.0126976245584563,-0.00359399790681604,0.018732730051051,-0.0244896922808603,0.0372363012467324
-0.0360514329459502,-0.0127040652651626,-0.0487794555530234,0.0256704613782,-0.00357152425177077
-0.00224306915589532,-0.0252295980107678,-0.0318668220304068,0.03065886467131,0.0541197536829191
-0.00931480632418295,-0.00687001370287242,-0.0333391717544907,0.0237264948063659,0.0280128881069947
-0.00769395199010569,-0.00388590398117004,-0.0445988031950598,0.0273718237749349,-0.010959577832395
-0.0080343144966951,0.0183699145875852,0.00923439395281037,-0.0215920940143201,0.00570420947481451
-0.0142702033559243,0.00152008581670304,0.015416683393588,-0.0214075207678716,0.0381559805975267
-0.0347276132897851,0.0130780015764088,0.0211028524486767,0.0106777315901465,-0.020027941791545
-0.0501187841142815,0.00176434056346092,0.0196571753275673,-0.0309138046430361,0.0222812758771366
-0.0159328806775421,-0.00356224308440111,0.0240334686665753,0.0393584360202328,0.0483274678632741
-0.0462723978177665,0.00826776960160753,0.0198660293085455,0.0161604498085474,-0.00419742956727264
-0.00465186088064639,0.0104532218677685,0.018887609853932,-0.0417389482030205,0.0296639047601587
-0.0196533753100575,0.0326639409145919,0.00994083041294224,-0.0175219679577171,-0.0351765807741709
0.0110360402028974,0.00653654246007478,-0.03527907828262,0.016383080679956,-0.0242840096258334
-0.0309165420425038,0.0331831995007496,0.0115330611643278,0.0431461291401694,0.0119727124769745
-0.0377638064832694,0.0104693587634185,-0.0449860678212782,0.0693066121022324,-0.0133610298807226
-0.0149789922942018,0.0280725724125649,-0.0398349691724679,-0.0356957761787252,-0.0246267040649417
-0.023634663858488,0.0172427928117591,-0.050404140222875,0.0422161009896838,0.0285666500579591
-0.0299609398357592,0.0296221206786837,-0.0589010795650187,0.0255585109926022,-0.0466107697970987
0.0677154518147238,-0.0106147903644057,-0.0158382174699747,-0.0115490985521479,-0.00241947032913344
-0.0145336547440927,0.0361015664171384,0.00953578926692143,-0.0161588841619087,-0.0174064666706807
-0.00730383504756078,0.0124795315114841,0.0118090984687646,-0.0182723073763612,0.00606973628759575
-0.024629133276172,0.0349419846495659,0.0136943756289358,-0.0272044297455778,-0.0095502546670109
-0.00645261677137884,0.0104117827926324,-0.091468546763538,0.00367831222693483,0.00325544029428261
-0.0225902482013353,0.0357568478561942,0.0136576315288709,-0.0202037870118087,0.0191264775919237
-0.0113343056707386,0.0237802806065778,0.0152778417998074,0.015247892363656,0.0553030971618315
-0.0236273224116727,0.0420952357645823,0.0119038692386939,0.0284209163736042,-0.0027142229796308
0.0100698469601723,0.0353296325957263,0.012361457514882,-0.00517527425759518,-0.0136554910421588
0.0150997029574603,0.0406492117627819,0.0136625225899334,-0.0359715478283429,-0.0274133441188544
0.00208546150415825,0.0389101225232446,0.0108716446896493,0.0349014078120708,-0.0333669198977422
-0.00787230608741041,0.0343937130931371,-0.0556343446831851,-0.00367544938238001,0.0231332093113191
-0.00486777697711566,0.0336399430704488,0.00898623389137175,0.0241074220486262,0.00486711867871193
0.00331587610693701,0.0366029311790592,0.00847071911863811,0.0133712489660891,0.040968338362491
-0.0317123863104851,0.0135981471703633,0.0162066494085254,-0.0518023528664347,-0.029001694388171
-0.0127070046708851,0.0379556971111127,0.0147852020609869,-0.0382651156914218,0.0199253279553366
0.0238963901786055,0.0587531006339072,0.00271476587618516,-0.0347752479993406,-0.0206997324765886
-0.0143783902940143,0.0102096073609135,0.0209776336609494,0.0190690185751785,0.0133067641865285
-0.0519346307150939,0.00248176523520298,0.022176618798127,-0.042194890431874,-0.0135262464448324
-0.0120043820248995,0.0104907296584652,0.0182071841448914,0.000896753568576456,0.000386553054943852
-0.0262800275005432,-0.00999443366332837,0.0218168231085198,0.0155474352320601,-0.0293657344962078
0.00770756948153459,0.0200543694863384,0.0141194106024602,-0.0130690143443763,0.00673025086357862
0.0426157163437622,0.0107662107783407,0.0153065247183619,0.00783461467917421,0.0175967003650228
0.00676791132749988,0.0520673293508319,0.00604789128764666,-0.0133907507527687,0.0325288916852109
-0.00885177207707881,0.0201193019744223,-0.0551797846463919,-0.00165742267219083,0.0232563507197154
0.0751597694786941,0.0245771245926888,0.00816684149622057,0.00983371225808661,0.00976843203728076
-0.00854675651520189,0.0293998465631724,-0.0354036518110637,0.0157543106150085,-0.000170648820486953
-0.000122260419691329,-0.00576383576433134,-0.0246621902194615,0.0171330091191901,-0.0158451396575355
-0.0293966803819084,0.0120161895507682,0.0151706421255912,-0.044351794350435,-0.0154174729832447
-0.0643760134440944,-0.0451945048628463,-0.051967522132779,-0.0123922711943984,-0.00460064251151763
