Missing data from input file random_001_snps_Genepop.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
      25            8           000000           127
      26           19           000000            79
      27           48           000000            62
      28           23           000000           103
      29            9           000000            80
      30           36           000000            68
      31           11           000000            97
      32           49           000000            64
      33           68           000000            47
      34           20           000000            34
      35            2           000000            44
-----------------------------------------------------------
Total missing data for population   27:         3331

Population 28 [NS.1794.004.UDP0102_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           71           000000            35
       2            8           000000            34
       3           23           000000            62
       4           42           000000            52
       5           92           000000            26
       6          117           000000            24
       7           57           000000            38
       8            8           000000           121
       9            5           000000            26
      10           30           000000            33
      11           92           000000            31
      12           31           000000           136
      13            4           000000           343
      14           42           000000            55
      15            4           000000            14
      16            4           000000            60
      17           48           000000            36
      18          174           000000            31
      19           30           000000            60
      20            4           000000            87
      21           25           000000            26
      22           17           000000            41
      23            8           000000            92
      24           33           000000            70
      25           14           000000            64
      26           57           000000            77
      27           57           000000            76
      28            8           000000           209
      29           15           000000            61
      30           87           000000            68
      31           84           000000            46
      32           17           000000            75
      33            8           000000           110
      34           30           000000            76
      35           11           000000           280
-----------------------------------------------------------
Total missing data for population   28:         2675

Population 29 [NS.1798.004.UDP0097_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           56           000000            61
       2           69           000000            24
       3           29           000000            62
       4            5           000000            84
       5            8           000000            72
       6           48           000000            66
       7            2           000000           199
       8            7           000000           145
       9          193           000000            47
      10            3           000000            67
      11            4           000000            76
      12            2           000000           103
      13           17           000000            69
      14           48           000000            79
      15           30           000000            61
      16           31           000000            49
      17            8           000000            47
      18           56           000000            86
      19           23           000000            34
      20            8           000000           122
      21           11           000000           314
      22           21           000000            68
      23           12           000000           145
      24            4           000000            32
      25           30           000000            26
      26            4           000000            43
      27           21           000000            78
      28           36           000000            45
      29            5           000000            65
      30            8           000000            55
      31            4           000000            71
      32            4           000000           110
      33           52           000000            50
      34           92           000000            42
      35           30           000000            83
      36           30           000000           100
      37            4           000000            38
      38           84           000000            78
      39           93           000000            52
      40           92           000000            66
      41           30           000000           108
      42           22           000000            59
      43           43           000000            34
      44           41           000000            74
      45            8           000000           158
      46           85           000000            64
      47            8           000000            21
      48           23           000000           126
      49           21           000000            46
      50           36           000000           109
      51            4           000000            49
      52           94           000000            37
      53           52           000000            62
      54            9           000000            40
      55           10           000000           124
      56            8           000000           112
      57           20           000000            72
      58           85           000000            59
      59            5           000000            53
      60           94           000000            45
      61           29           000000           133
      62           31           000000            41
      63            4           000000           174
      64           15           000000           132
      65            8           000000            87
-----------------------------------------------------------
Total missing data for population   29:         5133

Population 30 [NS.1798.004.UDP0167_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            2           000000           116
       2           20           000000           184
       3           62           000000            80
       4           14           000000           131
       5           42           000000            52
       6            4           000000           113
       7            8           000000            39
       8           57           000000            57
       9           12           000000           206
      10            5           000000            76
      11            4           000000           218
      12           30           000000           153
      13           20           000000            90
      14            3           000000           131
      15           17           000000           105
      16           12           000000            97
      17          200           000000            17
      18          177           000000            21
      19           30           000000            79
      20           48           000000            53
      21           52           000000            33
      22            4           000000            91
      23            7           000000            84
      24           32           000000            56
      25            4           000000           147
      26           31           000000            64
      27            8           000000           103
      28            9           000000           223
      29            4           000000           152
      30            3           000000           122
      31            5           000000           148
      32            5           000000           129
      33            9           000000           133
      34            5           000000           109
-----------------------------------------------------------
Total missing data for population   30:         3612

