Missing data from input file random_001_snps_Genepop.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       4           12           000000            57
       5            9           000000            49
       6           17           000000            29
       7           28           000000            54
       8          380           000000            13
       9          172           000000            35
      10           52           000000            25
      11          153           000000            56
      12           79           000000            31
      13           57           000000            31
      14          196           000000            39
      15          308           000000            33
      16           23           000000            30
      17           31           000000            31
      18           57           000000            20
      19          100           000000            16
      20           25           000000            61
      21          101           000000            36
      22            9           000000           169
      23           10           000000            98
      24          193           000000            31
      25            4           000000           108
      26           17           000000            40
      27           64           000000            24
      28           10           000000            71
      29           36           000000            34
      30           26           000000           120
      31           11           000000            40
      32           85           000000            32
      33           31           000000            55
      34           11           000000            85
-----------------------------------------------------------
Total missing data for population    7:         1652

Population 8 [NS.1792.004.UDP0371_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          123           000000             5
       2          140           000000            13
       3            8           000000            29
       4          107           000000            29
       5          142           000000            10
       6           11           000000            27
       7          702           000000             6
       8          107           000000            14
       9            4           000000            17
      10            4           000000            75
      11            8           000000            68
      12           17           000000            74
      13            8           000000            72
      14           62           000000            42
      15           11           000000            43
      16            8           000000            77
      17           36           000000           119
      18           23           000000           170
      19           30           000000           155
      20            8           000000           125
      21            4           000000            91
      22            8           000000           139
      23            1           000000           348
      24            5           000000           358
      25            4           000000           304
      26           30           000000            52
      27            9           000000           105
      28           31           000000            26
      29           15           000000            35
      30           20           000000            92
      31           52           000000            26
      32           25           000000            83
      33          120           000000            37
-----------------------------------------------------------
Total missing data for population    8:         2866

Population 9 [NS.1781.002.UDP0200_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            5           000000           111
       2            2           000000           100
       3            4           000000           122
       4           23           000000            72
       5           11           000000            58
       6            8           000000            58
       7           48           000000            20
       8          142           000000            48
       9           51           000000            29
      10           94           000000            18
      11           17           000000            23
      12            4           000000            52
      13           23           000000            41
      14           57           000000            68
      15            1           000000            99
      16           48           000000            31
      17          170           000000            22
      18            5           000000            27
      19           14           000000            40
      20          226           000000            36
      21          169           000000            21
      22            4           000000            44
      23           51           000000            13
      24            4           000000            38
-----------------------------------------------------------
Total missing data for population    9:         1191

Population 10 [NS.1781.002.UDP0193_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           93           000000            11
       2           13           000000            17
       3           94           000000             7
       4          232           000000            26
       5            8           000000            83
       6            4           000000            82
       7           21           000000             3
       8           51           000000            63
       9          171           000000            15
      10          100           000000            12
      11           17           000000            43
      12            7           000000            46
      13           30           000000            25
      14           84           000000            15
      15           17           000000            82
