,site,season,prec_lower,prec_upper,mean,min,max,sd
1,3N200,Fall,0.199560552835465,1.87641836553812,1.0997467149049,-1.34833824634552,3.32905058562756,NA
2,3N200,Spring,0.0539262257516384,1.84145636111498,1.08560298436454,-1.38349556922913,7.6922208443284,NA
3,3N200,Summer,0.448152123391628,1.66193428114057,1.0205817013979,-0.837824620306492,2.52336193621159,NA
4,3N200,Winter,0.744987353682518,2.16544085741043,1.53315547215087,-0.162511043250561,4.23435164988041,NA
5,AW,Fall,0.974877181649208,4.11154516786337,2.51078831031919,-0.90667437762022,11.494338825345,NA
6,AW,Spring,1.36951813101768,3.20209358632565,2.4604066110083,-0.413739413022995,8.99743645638227,NA
7,AW,Summer,1.79663077443838,5.03540148586035,3.26122625023127,-0.344157211482525,10.830744355917,NA
8,AW,Winter,1.0384533405304,3.72725609689951,2.28234128121819,-0.529465600848198,6.18997773528099,NA
9,Baie_des_Chaleurs,Fall,2.21798152327538,3.96161383464932,3.09549853652716,1.06726281344891,6.03250222653151,NA
10,Baie_des_Chaleurs,Spring,-0.0196844190359116,1.75112157315016,0.886535107025078,-0.318521663546562,2.54972992837429,NA
11,Baie_des_Chaleurs,Summer,1.01643118411303,2.8413159750402,1.72824489846826,-0.0138248652219772,5.11108738929033,NA
12,Baie_des_Chaleurs,Winter,0.866817243397236,2.58122503012419,1.71544107581888,-0.0658284053206444,4.33542895317078,NA
13,Bonavista,Fall,-0.649635283648968,1.27420272231102,0.270656472444534,-1.19891962409019,2.14542071521282,NA
14,Bonavista,Spring,0.0684530362486839,1.57606740295887,0.769053378275463,-0.684743776917458,2.10367139428854,NA
15,Bonavista,Summer,-0.370744936913252,1.69838558882475,0.607190179824829,-0.921323262155056,2.09707939624786,NA
16,Bonavista,Winter,-0.12149416655302,1.45667899399996,0.615158707967826,-0.752128645777702,1.95498521625996,NA
17,Bradelle_Bank,Fall,0.904660195112229,2.25831478536129,1.65807674154639,-0.106845282018185,3.59126561880112,NA
18,Bradelle_Bank,Spring,-0.685476221144199,0.93005159497261,-0.101020606500762,-1.76583145558834,1.74037905782461,NA
19,Bradelle_Bank,Summer,-0.0868739694356918,1.03979615494609,0.489815992489457,-0.508957162499428,2.15421004593372,NA
20,Bradelle_Bank,Winter,0.521103568375111,2.36198005825281,1.23952671991927,-1.32636491954327,3.43598744273186,NA
21,CFA8A,Fall,-1.19747915044427,-0.250917061418295,-0.686745791137218,-1.84493543207645,0.362651467323303,NA
22,CFA8A,Spring,-0.618335500359535,0.159031972289085,-0.125946962407657,-1.06414988636971,1.14929656684399,NA
23,CFA8A,Summer,-1.31491437479854,-0.234827703237533,-0.774358328059316,-1.97457806020975,0.545030079782009,NA
24,CFA8A,Winter,-0.672536373138428,0.387066274881363,-0.138572905744825,-1.13812675327063,0.998413056135178,NA
25,CMA_10A,Fall,-0.8437574185431,4.42913298457861,0.999536137282848,-1.19525740295649,6.73711357265711,NA
26,CMA_10A,Spring,-0.234778873622417,2.14249093830585,0.710376457444259,-0.938901923596859,6.19803462177515,NA
27,CMA_10A,Summer,-0.549974039196968,5.04985505193472,1.55203102491796,-1.08905299007893,7.21173743158579,NA
28,CMA_10A,Winter,-0.651783786714077,2.18985566496849,0.365092948079109,-1.08026365935802,3.99191261082888,NA
29,Fortune_Bay,Fall,1.94458450824022,4.7247474744916,2.90258493460715,0.841669991612434,6.54374829679728,NA
30,Fortune_Bay,Spring,1.57899717986584,4.34055606275797,2.91237701635276,1.28846096992493,5.50074771791697,NA
31,Fortune_Bay,Summer,1.57260050028563,4.50198677033186,2.87394636534154,1.07898192107677,6.3320719152689,NA
