,site,season,prec_lower,prec_upper,mean,min,max,sd
64,MaritimeE,Winter,3.16693626344204,8.96984772384167,5.82223260296243,1.84951324760914,11.7038178741932,NA
65,NAFO_4X,Fall,3.45503099262714,6.78430739566684,4.91608632132411,2.553392149508,8.83703117072582,NA
66,NAFO_4X,Spring,1.69106114655733,5.7092501744628,3.40023137575814,0.690786480903625,7.25714897364378,NA
67,NAFO_4X,Summer,2.39071628674865,6.29044466838241,4.30565509535372,1.42542804032564,8.02914518862963,NA
68,NAFO_4X,Winter,2.41740167140961,5.04052859544754,3.60826297530106,-0.0958586186170578,6.72173224389553,NA
69,NL10B,Fall,-0.472530269622803,0.977294247597459,0.427411744371057,-0.764580197632313,5.8764916062355,NA
70,NL10B,Spring,-0.376384757459164,0.678579077124596,0.156491669693163,-0.960875250399113,1.26136053353548,NA
71,NL10B,Summer,-0.0675374418497086,1.05844906792045,0.469075613468885,-0.478926949203014,3.72457046806812,NA
72,NL10B,Winter,-0.245033092796803,0.793084524571896,0.133129024079868,-1.23993650078773,2.27579578757286,NA
73,NL3B,Fall,-0.693704011291265,0.332670083642006,-0.0711386259645224,-1.14398630708456,1.40931426733732,NA
74,NL3B,Spring,-0.145298603922129,1.30555133521557,0.563393502895321,-0.915463708341122,1.750633276999,NA
75,NL3B,Summer,-0.404510615766048,1.38392286747694,0.367827406525612,-0.922055706381798,1.77407149225473,NA
76,NL3B,Winter,-0.146153122186661,0.958128623664379,0.373533495834896,-0.486983835697174,1.99819942563772,NA
77,NL3D,Fall,0.413971392810345,1.65978577807546,1.02359693013132,-0.310464777052402,2.42594685405493,NA
78,NL3D,Spring,1.08191169798374,2.80950348079205,1.67658084045563,-0.427655853331089,3.39350567758083,NA
79,NL3D,Summer,1.16299327388406,2.23892942816019,1.56456802859902,-0.445966958999634,2.7408978715539,NA
80,NL3D,Winter,0.248634316027164,2.07535021752119,1.02945474003043,-0.158848822116852,2.92400892823935,NA
81,NL6B,Fall,-1.19044768586755,-0.0302072010934351,-0.619434166699648,-1.50361642241478,0.488631874322891,NA
82,NL6B,Spring,-0.696462884545326,0.124851241707802,-0.253770106072937,-1.20844139903784,1.00500505417585,NA
83,NL6B,Summer,-1.14742879495025,0.10436721816659,-0.669069470465183,-1.62593460828066,0.444685220718384,NA
84,NL6B,Winter,-0.290932931005955,0.453474551439285,0.130989821893828,-0.826105512678623,1.17126989364624,NA
85,Northeast_Nova_Scotia,Fall,1.95015108436346,3.2419385522604,2.60280772000551,0.341410584747791,5.38062686473131,NA
86,Northeast_Nova_Scotia,Spring,0.490340910851955,1.71181373298168,1.16560798351254,-0.622486017644405,3.01116979122162,NA
87,Northeast_Nova_Scotia,Summer,0.834980334341526,2.13340862989426,1.59264505729079,0.320902146399021,3.13568530976772,NA
88,Northeast_Nova_Scotia,Winter,0.658070638775826,2.07071140408516,1.45205180666276,-0.749931313097477,3.24335461109877,NA
89,Northeast_Nova_Scotia_outer,Fall,5.0294931024313,6.63918577954173,5.99169287569821,3.61104161292315,8.60338146239519,NA
90,Northeast_Nova_Scotia_outer,Spring,4.56492814421654,7.03009126335382,5.74171024241618,3.6242256090045,7.57136754691601,NA
91,Northeast_Nova_Scotia_outer,Summer,4.60335705131292,7.48349865451455,6.22022768184543,3.9677419513464,8.32798243314028,NA
92,Northeast_Nova_Scotia_outer,Winter,4.38865323364735,6.70390943437815,5.6269606468933,3.36347546428442,7.35016939043999,NA
93,Offshore_Newfoundland,Fall,-0.733524562418461,1.20318004712462,0.201940996572375,-1.13959164172411,2.08389540016651,NA
94,Offshore_Newfoundland,Spring,0.167577154934406,1.20520647615194,0.638870136546237,-0.673024669289589,1.79824215173721,NA
95,Offshore_Newfoundland,Summer,-0.837873449921608,1.19905394464731,0.0941129989922047,-1.12860497832298,1.66493730247021,NA
96,Offshore_Newfoundland,Winter,0.0877407342195511,1.63808101415634,0.841716496007783,-0.872249498963356,2.47575306147337,NA
97,Quebec,Fall,4.05399946644902,5.86745812743902,4.84739526025951,3.69014558941126,6.18631551414728,NA
98,Quebec,Spring,4.00509660691023,5.65407270938158,4.81888283416629,3.7172460258007,5.99661245942116,NA
99,Quebec,Summer,4.21540575921536,5.53351238965988,4.82610554806888,3.70552691817284,5.96218758076429,NA
100,Quebec,Winter,4.08761865645647,5.73317668586969,4.77917389358793,3.67036959528923,6.00466934591532,NA
101,St_Marys_Bay,Fall,0.332474765181542,1.57103795260191,0.94868009313941,-0.1947385892272,2.81414229422808,NA
102,St_Marys_Bay,Spring,-0.454756289720535,0.930784039199352,0.223074337733643,-0.848811283707619,1.22766809910536,NA
103,St_Marys_Bay,Summer,-0.0433179527521133,0.962254726141692,0.541355651244521,-0.314126998186111,1.81289103627205,NA
104,St_Marys_Bay,Winter,0.65172278881073,2.05069126188755,1.16474765219859,-0.575609587132931,3.23822750151157,NA
105,Torngat_2N5440,Fall,1.12986238002777,3.41860409975052,2.05064243227243,0.00375379621982574,4.83935058116913,NA
106,Torngat_2N5440,Spring,-0.477584134787321,2.08699608072639,0.811407837644219,-1.55635240674019,3.7311624661088,NA
107,Torngat_2N5440,Summer,0.513608222454786,2.95296489000321,1.72966095730662,-0.35441143065691,5.11914427578449,NA
108,Torngat_2N5440,Winter,0.187865860015154,2.39630727767944,1.37597584761679,-0.358073651790619,3.86300242692232,NA
109,Trinity_Bay,Fall,-0.782695984840393,0.655214106291533,-0.153648468106985,-1.70284125208855,1.54261911660433,NA
110,Trinity_Bay,Spring,0.239600837230682,1.10437332093716,0.582524248531887,-0.731620207428932,1.80703148245811,NA
111,Trinity_Bay,Summer,0.144871383905411,1.50502031296492,0.782390838861465,-0.911801487207413,2.07657095789909,NA
112,Trinity_Bay,Winter,-0.749443016946316,0.675893448293209,0.00626503356865474,-1.43989377468824,1.42982270568609,NA
113,Western_Cape_Breton,Fall,1.73984193205833,3.37458420172334,2.60758081488311,0.251319944858551,4.88695945590734,NA
114,Western_Cape_Breton,Spring,0.723502323031425,1.97732476517558,1.25640200238143,-1.29853203892708,3.51802119612694,NA
115,Western_Cape_Breton,Summer,0.599816907942295,1.99985963255167,1.34399244971573,-0.0174870863556862,2.8793298304081,NA
116,Western_Cape_Breton,Winter,1.21131017804146,2.43424788862467,1.95219495253904,-1.3900875672698,3.91500596702099,NA
